Entry Row,ID,User Question,A,B,Preferred option,Explanation,Other Observations
1,396,any phone number written here.,"A business card for a massage service called MIX & MaTcH MaSsaGe.

It advertises: Double the pleasure with Singapore's first and only twin therapist massage!

The services listed are:
Hut 67 Massage
Smooth & Soothe
Back Breaker
Stress Buster
Ginger Treatment
Lulur Body Scrub
Tired Feet
Post Natal
Tummy Trimming

It lists several locations and phone numbers:

Central
306 River Valley Road, Singapore 238347, (65) 6733 7727

North
96 Yio Chu Kang Road, Singapore 545574, (65) 6288 7377

West
118 Jurong... (the rest is cut off), (65) 6466 7737

Other locations listed include:
415 River Valley Road, Singapore 248314, (65) 6235 7737
259 Upper Thomson Road, Singapore 574386, (65) 6454 7727
SAFRA Yishun Country Club, 60 Yishun Ave 4 #01-V3, Singapore 769027, (65) 6555 7737
154 West Coast Rd, West Coast Plaza, #02-20/21 S(127371), (65) 6774 7737","A business card for a massage service called MIX & MaTcH MaSsaGe. The card is two-toned, with a light green top and an olive green bottom. It has a small picture of white flowers in the top left corner.

The card reads: Double the pleasure with Singapore's first and only twin therapist massage!

The services listed are:
Hut 67 Massage
Smooth & Soothe
Back Breaker
Stress Buster
Ginger Treatment
Lulur Body Scrub
Tired Feet
Post Natal
Tummy Trimming

The locations and phone numbers are:

Central
306 River Valley Road, Singapore 238347, (65) 6733 7727
415 River Valley Road, Singapore 248314, (65) 6235 7737
259 Upper Thomson Road, Singapore 574386, (65) 6454 7727

North
96 Yio Chu Kang Road, Singapore 545574, (65) 6286 7377
60 Yishun Ave 4 #01-V3, SAFRA Yishun Country Club, Singapore 769027, (65) 6555 7737

West
110 Jalan Jurong Kechil, #01-05 Sweebi House, (65) 6465 7737
154 West Coast Rd, #02-20/21 S(127371), West Coast Plaza, (65) 6774 7737",A,"(A) was more concise, and provides information more focused on what the user is likely to need from a business card",(B) grouped better the addresses written in the business card
2,60,What is this?,"A close-up, slightly blurry photo of a piece of clothing, likely shorts or pants. The fabric is a light beige or khaki color. On the right side of the image, there is a vertical seam with a decorative, textured stitch pattern next to it.","A blurry, close-up of light-colored fabric, possibly khaki or beige. It looks like a piece of clothing, with a thick, textured seam running vertically along the right side. The fabric is wrinkled, and the overall image is out of focus.",Neither,"(A) provided more specific terminology, but (B) provided other useful information like mentioning the image is out of focus and that the fabric was wrinkled",
3,519,What are the directions of this product?,A dark brown tube of TRESemmé hair cream with a blue flip-top cap. The text on the front identifies it as TRESemmé Smooth Anti-Frizz Secret Smoothing Crème. The tube contains 4.0 ounces or 113 grams. The usage instructions are not visible in this picture.,"A dark brown tube of TRESemmé hair cream with a blue flip-top cap, sitting on a light-colored surface. The text on the tube is white and blue.

The text reads:
TRESemmé
SMOOTH
ANTI-FRIZZ SECRET
SMOOTHING CRÈME
professional results
controls frizz
from Tresemmé",A,(A) explained to the user that instructions were not visible (which was the user's real question) and also provided volume of the product,
4,77,What is this item?,"A box for a Gourmet Bake & Fill Cake Pan. The front of the box shows a three-tiered round cake with white frosting, decorated with strawberries and blueberries.

The text on the box says ""Designer cake for your favorite filling"" and suggests using it for:
Ice Cream
Fresh Fruit
Pudding
Whip Cream
Mousse
And More

The pan has a non-stick finish.","A box for a Bake & Fill Cake Pan, held in someone's lap. The box features a picture of a two-tiered round cake with white frosting, decorated with strawberries, raspberries, and blueberries.

The text on the box reads:
Gourmet by Star Craft™
BAKE & FILL CAKE PAN
DESIGNER CAKE FOR YOUR FAVORITE FILLING

A list of suggested fillings includes:
Ice Cream
Fresh Fruit
Pudding
Whip Cream
Mousse
And More

At the bottom right, it says NON-STICK FINISH.
In the bottom left corner, there's a small picture of the pan being filled, with the text: YOU ADD FILLING BEFORE YOU BAKE EVENLY",A,"(A) responded user's query equally well as (B), and was significantly shorter. (read most relevant text).",
5,391,I need to know what the letters in this captcha image are. Thank you.,"A blurry close-up of a computer screen showing what appears to be a CAPTCHA. The characters to be typed seem to be DVXUW-.

The image is very out of focus, making it difficult to be certain of the letters. Below the characters is a text field and a blue button to the right.",A blurry photo of a computer screen shows a CAPTCHA. The characters appear to be pvxuw.,A,"(A) explained more information about the quality of the image, and also explained that it is uncertain about the information presented.",Both responses could have some randomness answering the captcha.
6,583,does this outfit look coordinated?,"A close-up of an outfit, showing a white button-up shirt with thin, vertical grey stripes. The shirt is tucked into dark pants that appear to be black. A black leather belt with a silver-colored rectangular buckle is visible at the waist. The colors of the outfit coordinate well."," A close-up of a person's torso, wearing a white button-down shirt with thin, grey vertical stripes. The shirt is tucked into dark, black-looking pants. A black leather belt with a simple, rectangular silver buckle is fastened at the waist. The shirt is slightly wrinkled and billows out a bit over the belt.",A,"(A) provided information about color coordination of the outfit (which was the user's real question). Also, used more direct language instead of saying ""torso"".",It is not sure if the user's question refers on neatness or well-coordinating referring to the outfit's style.
7,41,What kind of pop is in this can?,"A blue and yellow can of Nestea iced tea. It has a picture of a lemon on it. The photo is taken from a downward perspective, showing your feet in light-colored socks on a light-colored floor. A silver pet bowl is also on the floor.","A blue and yellow can of Nestea on a white surface to your right. The picture is taken looking down at your feet, which are in light-colored socks on a light-colored floor. In front of you on the floor is a silver metal bowl next to the bottom edge of a wooden cabinet.",A,"(A) it is shorter, explains that it is iced tea, and mentions the presence of a lemon which helps the user know the flavor of the drink",
8,35,What is this can? Thank you.,"A can of food is lying on its side on a white kitchen counter. The label is black, and the words 'RANCH STYLE' are visible in yellow letters. Most of the other text on the label is too blurry to read. Also on the counter is a ceramic chef figurine, an empty plastic soda bottle, and a package of small sausages.","A kitchen counter with several items on it. In the center is a black can of Ranch Style beans lying on its side. Below the can is a crushed, empty plastic soda bottle. In the background, there is a ceramic chef figurine and a package of small sausages.",A,"(A) specified that the text on the label is too blurry, and it also started the description with the can in the middle, which the user intentionally captured in the center to ask a question about it",(B) described better the can (the item of interest) more directly with few words.
9,61,What is this?,"An older desktop computer setup on a desk.

In the foreground is a black Logitech keyboard, model MK320.

Behind the keyboard, a silver LCD monitor rests on a beige power control center. This control center has two lit red rocker switches labeled PRINTER and MONITOR.

Plugged into the front of the control center is a small, beige, rectangular device. It has a round, white-rimmed speaker grille on its face and a small slider switch on its side. This is likely an external modem or a telephone line ringer.

The monitor is silver with control buttons along the bottom edge, including OSD, AUTO, and SOURCE/SET. To the left of the monitor is a silver Boston computer speaker with three knobs for Master Volume, Satellite Volume, and Subwoofer.

To the right of the beige device is a small black box with pink and green audio cables plugged into the top.","A desktop computer setup with several components.

In the foreground is a black Logitech keyboard, model MK320.

Behind the keyboard, under the monitor, is a power control unit with two rectangular, red switches that are currently lit up. The left switch is labeled PRINTER and the right switch is labeled MONITOR.

To the right of these switches, two audio plugs, one pink and one light green, are plugged into a small black box. To the left of the switches is a small, beige, rectangular device with a round speaker grille.

The monitor is silver and sits on top of the power control unit. Along the bottom right edge of its frame are five oval buttons. From left to right, they are labeled:
OSD
A left arrow
An up arrow that is also labeled AUTO
A right arrow
A button labeled SOURCE/SET

To the left of the monitor is a silver Boston speaker with three silver knobs on its base.",A,(A) provided specific identity of the beige device and described in a more legible way the controls of the monitor,
10,305,For how long do I cook this in the microwave?,"A Lite n' Easy frozen meal of Baked Chicken with Mushroom Sauce.

The microwave heating instructions are:
1. Heat from frozen.
2. Peel the corner of the film back before heating.
3. Place the tray in the microwave.
4. Heat on HIGH for 8 minutes. This is based on a 1000W microwave.

It notes that microwave ovens vary, so you should adjust the heating time accordingly. To test if the meal is properly heated, you can place your hands under the pack and if you feel any cold spots, return it to the microwave for another 30 to 60 seconds.

The picture on the package shows the chicken with mushroom sauce, roasted potatoes, green beans, and a mix of corn and carrots.","A Lite n' Easy frozen meal of Baked Chicken with Mushroom Sauce, sitting on a wooden surface. The menu number is 133.

The microwave heating instructions are:
Heat from frozen.
Peel the corner of the film back before heating.
Place the tray in the microwave.
Heat on HIGH for 8 minutes.

It notes that you should test if the meal is properly heated by placing your hands under the pack. If you feel any cold spots, return it to the microwave for a further 30-60 seconds.

The expiry date is 23rd of June, 2012.",B,(B) provided same quality of cooking instruction explanation but also gave expiration date in natural language and was significantly shorter,
